2022-10-10 (20:19:32) | [UAA LIA] uid:1
2022-10-10 (20:19:50) | [UAA LIA] uid:1
2022-10-10 (20:25:30) | [UAA LIA] uid:1
2022-10-10 (20:32:01) | [UAA LIA] uid:1
2022-10-10 (20:46:12) | [UAA LOA] uid:1
2022-10-10 (20:46:19) | [UAA LIA] uid:6
2022-10-10 (20:46:28) | [UAA LOA] uid:6
2022-10-10 (20:46:33) | [UAA LIA] uid:1
2022-10-10 (20:47:14) | [UAA LOA] uid:1
2022-10-10 (20:47:20) | [UAA LIA] uid:6
2022-10-10 (20:47:24) | [UAA LOA] uid:6
2022-10-10 (20:47:45) | [UAA LIA] uid:6
2022-10-10 (20:50:08) | [UAA LOA] uid:6
2022-10-10 (20:50:16) | [UAA LIA] uid:1
2022-10-10 (21:46:46) | [UAA LIA] uid:1
2022-10-10 (21:49:12) | [UAA LIA] uid:1
