2022-10-12 (14:28:17) | [UAA LIA] uid:1
2022-10-12 (14:36:33) | [UAA LIA] uid:1
2022-10-12 (14:36:56) | [UAA LOA] uid:1
2022-10-12 (14:38:25) | [UAA LIA] uid:1
2022-10-12 (14:38:55) | [UAA LIA] uid:1
2022-10-12 (14:39:30) | [UAA LIA] uid:1
2022-10-12 (14:39:44) | [UAA LOA] uid:1
2022-10-12 (14:39:53) | [UAA LIA] uid:1
2022-10-12 (15:35:49) | [UAA LIA] uid:1
2022-10-12 (16:08:29) | [UAA LIA] uid:1
2022-10-12 (16:10:16) | [UAA LIA] uid:1
2022-10-12 (16:11:54) | [UAA LIA] uid:1
2022-10-12 (16:12:12) | [UAA LIA] uid:1
2022-10-12 (16:53:34) | [UAA LIA] uid:1
2022-10-12 (17:15:48) | [UAA LIA] uid:1
2022-10-12 (17:33:53) | [UAA LIA] uid:1
2022-10-12 (17:37:00) | [UAA LIA] uid:1
